[INFO] Entering main loop
[RECEIVED] {"id":1,"src":"c2","dest":"n1","body":{"type":"init","node_id":"n1","node_ids":["n1","n2","n3","n4","n5"],"msg_id":1}}
Initialized node n1
Init send {"src":"n1","dest":"c2","body":{"type":"init_ok","in_reply_to":1,"msg_id":0}}
[RECEIVED] {"id":10,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":11,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":12,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":13,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":14,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":15,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":16,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":17,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":18,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":19,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":20,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":21,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":22,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":23,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":24,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":25,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":26,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":27,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":28,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":29,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":30,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":31,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":32,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":33,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":34,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":35,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":36,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":37,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":38,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":39,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":40,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":41,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":42,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":43,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
[RECEIVED] {"id":44,"src":"c10","dest":"n1","body":{"type":"generate","msg_id":1}}
